# Data taken with Blue Matter/P3ME on the system software stack by
# Maria Eleftheriou on April 5-6, 2004
# system is 5katom beta-hairpin
# column 1: node count
# column 2: average time (pclocks) over nodes and timesteps (ts > 30)
# column 3: stddev (pclocks)
# AssignCharge (0)
         32                          1161543   +3.53715106439402E+004
        256                           483747   +1.78559134115475E+004
        512                           431285   +1.62968366171629E+004


# ForwardFFT (1)
         32                           14078947   +2.56088323560378E+005
        256                            2929061   +1.12377528059678E+005
        512                            1904237   +8.47238334638579E+004


# Interpolate (2)
         32                           1442990   +5.77851616949315E+004
        256                            252790   +2.88771144646691E+004
        512                            161268   +2.41686929712128E+004


# KSpaceEvaluation (3)
         32                     33383115   +2.64023517211114E+005
        256                      6738434   +1.12956599316185E+005
        512                      4424837   +8.03803020400717E+004


# mGlobalizePositions (4)
         32                   4796522   +3.25424879208267E+005
        256                   4696099   +2.26490228127300E+005
        512                   4776788   +2.31245422871180E+005


# mReduceForces (5)
         32                         4313498   +2.51675988368943E+005
        256                         4417809   +1.63470329994676E+005
        512                         4344623   +1.59724832194669E+005


# NSQ_RealSpace_Meat_ (6)
         32                  37539431   +2.08172929175022E+005
        256                   4740730   +7.61016788251970E+004
        512                   2370499   +5.86590076573425E+004


# P3ME_Convolve_ (7)
         32                        1693602   +9.01119744120475E+005
        256                         163330   +7.25820044953045E+004
        512                          81553   +3.12869644907998E+004


# P3ME_ReverseFFT_ (8)
         32                     14785161   +9.02433017852327E+005
        256                      2873090   +9.39121418180811E+004
        512                      1815997   +4.21043269734080E+004


# RealSpace (9)
         32                            39870110   +2.46608502084147E+006
        256                             5647976   +8.03992137882253E+005
        512                             3180266   +6.81796808278486E+005

