# Statistics for grouped trace points from trace_group_id 93
# column 1: node count
# column 2: average
# column 3: std. dev
# column 4: min()
# column 5: max()
# column 6: minDev (deviation from average value computed for each ts)
# column 7: maxDev (deviation from average value computed for each ts)
# column 8: count()


# Index 0: Results for GlobalizePositions_Cntl
512 	1.1514e+06 	319093 	845397 	2.95318e+06 	-536815 	601301 	51200
1024 	1.86671e+06 	400586 	1.48699e+06 	4.31286e+06 	-636122 	976717 	102400
2048 	1.28054e+06 	267504 	971513 	2.79447e+06 	-465032 	518607 	204800
4096 	1.2909e+06 	255050 	891122 	2.92768e+06 	-582126 	758406 	409600
8192 	670708 	126351 	534389 	1.29915e+06 	-176861 	144533 	819200
16384	562000	0	0	0		0		0	0


# Index 1: Results for GuardZoneViolationReduction
512 	383943 	102009 	25049 	674440 	-406229 	279683 	51200
1024 	274328 	75705 	15120 	551997 	-289349 	266801 	102400
2048 	220360 	55843.9 	11629 	460144 	-254277 	212282 	204800
4096 	292648 	98280.3 	9164 	824484 	-318366 	512516 	409600
8192 	137245 	27549.9 	8406 	235013 	-143069 	88103.8 	819200


# Index 2: Results for P2_InitialBarrier
512 	0 	0 	0 	0 	0 	0 	51200
1024 	0 	0 	0 	0 	0 	0 	102400
2048 	1.68339e+15 	NaNQ 	0 	3.48241e+18 	-1.70039e+15 	3.48071e+18 	204800
4096 	2.54243e+15 	NaNQ 	0 	3.50633e+18 	-2.56812e+15 	3.50377e+18 	409600
8192 	2.57754e+15 	NaNQ 	0 	3.55475e+18 	-2.60357e+15 	3.55214e+18 	819200


# Index 3: Results for P2_KSpace_Control
512 	5.48634e+06 	395241 	4.92835e+06 	6.88344e+06 	-607093 	510268 	51200
1024 	3.71615e+06 	432171 	3.0281e+06 	5.38862e+06 	-970779 	592420 	102400
2048 	2.24279e+06 	276114 	1.83202e+06 	3.33224e+06 	-498405 	448888 	204800
4096 	2.21169e+06 	276052 	1.65267e+06 	3.44949e+06 	-745944 	578283 	409600
8192 	1.27399e+06 	142096 	1.08985e+06 	1.74538e+06 	-152201 	188321 	819200
16384	1.4e+06		0	0		0		0		0	0


# Index 4: Results for P2_NSQ_Control
512 	7366.37 	11234.4 	900 	50063 	-13567.5 	16486.2 	51200
1024 	4273.09 	5842.21 	894 	29084 	-9544.93 	11168.6 	102400
2048 	2691.61 	3100.68 	893 	17786 	-6123.67 	7808.33 	204800
4096 	1913.76 	1768.39 	894 	14173 	-4766.69 	8213.32 	409600
8192 	1502.32 	1053.52 	905 	8941 	-2682.07 	5081.58 	819200


# Index 5: Results for P2_Simtick_Loop_Control
512 	1.60667e+07 	6.31008e+06 	1.36976e+07 	4.11762e+07 	-341920 	165698 	51200
1024 	1.16152e+07 	4.80222e+06 	9.68131e+06 	3.04764e+07 	-227825 	186243 	102400
2048 	7.15802e+06 	3.37856e+06 	5.86859e+06 	2.0623e+07 	-166339 	153571 	204800
# 4096 	6.72784e+06 	2.63537e+06 	5.47956e+06 	1.75192e+07 	-391940 	417913 	409600
4096	3.85191E+06	1.72545E+06	3.14856e+06	1.08088e+07	-1.13244E+05	8.93627E+04	409600
