# Data from IPDPS2006 NAMD paper on scaling of ApoA1 system
# column 1: node count (from text it appears that data presented in tables is co-processor mode
# column 2: non-blocking msg layer performance
# column 3: mpi performance
4 	2.611
128 	0.0972
512 	0.0237 	0.0278
1024 	0.0138 	0.0173
2048 	0.0086 	0.0102
4096 	0.0062 	0.0073
8192 	0.0052
