# Statistics for grouped trace points from trace_group_id 14
# column 1: node count
# column 2: average
# column 3: std. dev.
# column 4: min()
# column 5: max()
# column 6: count()
# results for Ewald_AllReduce
1	103871	NaNQ	101000	105000	101
8	1.93304e+07	1.29328e+07	1.348e+06	3.7937e+07	808
32	1.08484e+07	3.39484e+06	1.348e+06	1.6847e+07	3232
128	2.609e+06	639634	1.523e+06	5.156e+06	12928
256	2.4508e+06	509042	1.629e+06	4.472e+06	25856
512	3.01475e+06	673122	2.024e+06	5.708e+06	51712


# results for Ewald_Forces
1	3.35459e+09	NaNQ	3.35379e+09	3.35512e+09	101
8	4.21242e+08	NaNQ	4.15653e+08	4.26993e+08	808
32	3.6857e+07	780988	3.542e+07	3.9783e+07	3232
128	5.97167e+06	180904	5.29e+06	6.28e+06	12928
256	3.05075e+06	155924	2.442e+06	3.283e+06	25856
512	1.52269e+06	221406	895000	1.794e+06	51712


# results for Ewald_LocalReduce
1	2.79864e+09	NaNQ	2.79859e+09	2.79867e+09	101
8	3.40551e+08	NaNQ	3.33427e+08	3.50207e+08	808
32	3.55269e+07	354481	3.4398e+07	3.7546e+07	3232
128	5.52977e+06	168445	4.879e+06	5.819e+06	12928
256	2.79327e+06	164332	2.232e+06	3.021e+06	25856
512	1.37747e+06	205644	750000	1.627e+06	51712


